id,folder,name,title,category,file
1,001_smoke-testing,smoke-testing,Web Application Smoke Testing,core,001_smoke-testing/SKILL.md
2,002_navigation-testing,navigation-testing,Primary Navigation Testing,navigation,002_navigation-testing/SKILL.md
3,003_form-submission-testing,form-submission-testing,Form Submission Testing,forms,003_form-submission-testing/SKILL.md
4,004_form-validation-testing,form-validation-testing,Client-side Form Validation Testing,forms,004_form-validation-testing/SKILL.md
5,005_login-flow-testing,login-flow-testing,Login Flow Testing,auth,005_login-flow-testing/SKILL.md
6,006_registration-flow-testing,registration-flow-testing,User Registration Testing,auth,006_registration-flow-testing/SKILL.md
7,007_password-reset-testing,password-reset-testing,Password Reset Testing,auth,007_password-reset-testing/SKILL.md
8,008_session-expiry-testing,session-expiry-testing,Session Expiry Testing,auth,008_session-expiry-testing/SKILL.md
9,009_role-permission-testing,role-permission-testing,Role-based Permission Testing,auth,009_role-permission-testing/SKILL.md
10,010_logout-flow-testing,logout-flow-testing,Logout Flow Testing,auth,010_logout-flow-testing/SKILL.md
11,011_search-testing,search-testing,Search Interaction Testing,discovery,011_search-testing/SKILL.md
12,012_filter-testing,filter-testing,Filter Control Testing,discovery,012_filter-testing/SKILL.md
13,013_sorting-testing,sorting-testing,Sorting Control Testing,discovery,013_sorting-testing/SKILL.md
14,014_pagination-testing,pagination-testing,Pagination Testing,discovery,014_pagination-testing/SKILL.md
15,015_infinite-scroll-testing,infinite-scroll-testing,Infinite Scroll Testing,discovery,015_infinite-scroll-testing/SKILL.md
16,016_file-upload-testing,file-upload-testing,File Upload Testing,files,016_file-upload-testing/SKILL.md
17,017_file-download-testing,file-download-testing,File Download Testing,files,017_file-download-testing/SKILL.md
18,018_drag-drop-testing,drag-drop-testing,Drag and Drop Testing,interaction,018_drag-drop-testing/SKILL.md
19,019_modal-dialog-testing,modal-dialog-testing,Modal Dialog Testing,interaction,019_modal-dialog-testing/SKILL.md
20,020_toast-notification-testing,toast-notification-testing,Toast Notification Testing,interaction,020_toast-notification-testing/SKILL.md
21,021_responsive-layout-testing,responsive-layout-testing,Responsive Layout Testing,layout,021_responsive-layout-testing/SKILL.md
22,022_mobile-menu-testing,mobile-menu-testing,Mobile Navigation Menu Testing,layout,022_mobile-menu-testing/SKILL.md
23,023_cross-browser-testing,cross-browser-testing,Cross-browser Web Testing,layout,023_cross-browser-testing/SKILL.md
24,024_keyboard-navigation-testing,keyboard-navigation-testing,Keyboard Navigation Testing,accessibility,024_keyboard-navigation-testing/SKILL.md
25,025_accessible-name-testing,accessible-name-testing,Accessible Name Testing,accessibility,025_accessible-name-testing/SKILL.md
26,026_focus-trap-testing,focus-trap-testing,Focus Trap Testing,accessibility,026_focus-trap-testing/SKILL.md
27,027_visual-regression-testing,visual-regression-testing,Visual Regression Testing,visual,027_visual-regression-testing/SKILL.md
28,028_screenshot-capture-testing,screenshot-capture-testing,Diagnostic Screenshot Capture,visual,028_screenshot-capture-testing/SKILL.md
29,029_console-error-testing,console-error-testing,Browser Console Error Testing,diagnostics,029_console-error-testing/SKILL.md
30,030_page-error-testing,page-error-testing,Uncaught Page Error Testing,diagnostics,030_page-error-testing/SKILL.md
31,031_network-failure-testing,network-failure-testing,Network Failure UI Testing,network,031_network-failure-testing/SKILL.md
32,032_api-mocking-testing,api-mocking-testing,API Mocking for UI Tests,network,032_api-mocking-testing/SKILL.md
33,033_loading-state-testing,loading-state-testing,Loading State Testing,network,033_loading-state-testing/SKILL.md
34,034_empty-state-testing,empty-state-testing,Empty State Testing,states,034_empty-state-testing/SKILL.md
35,035_error-state-testing,error-state-testing,Application Error State Testing,states,035_error-state-testing/SKILL.md
36,036_offline-mode-testing,offline-mode-testing,Offline Mode Testing,network,036_offline-mode-testing/SKILL.md
37,037_websocket-testing,websocket-testing,WebSocket Event Testing,network,037_websocket-testing/SKILL.md
38,038_polling-testing,polling-testing,Polling Behavior Testing,network,038_polling-testing/SKILL.md
39,039_debounce-testing,debounce-testing,Debounced Input Testing,interaction,039_debounce-testing/SKILL.md
40,040_autosave-testing,autosave-testing,Autosave Testing,interaction,040_autosave-testing/SKILL.md
41,041_optimistic-update-testing,optimistic-update-testing,Optimistic Update Testing,states,041_optimistic-update-testing/SKILL.md
42,042_shopping-cart-testing,shopping-cart-testing,Shopping Cart Testing,commerce,042_shopping-cart-testing/SKILL.md
43,043_checkout-flow-testing,checkout-flow-testing,Checkout Flow Testing,commerce,043_checkout-flow-testing/SKILL.md
44,044_coupon-testing,coupon-testing,Coupon and Promotion Testing,commerce,044_coupon-testing/SKILL.md
45,045_inventory-state-testing,inventory-state-testing,Inventory State Testing,commerce,045_inventory-state-testing/SKILL.md
46,046_product-variant-testing,product-variant-testing,Product Variant Testing,commerce,046_product-variant-testing/SKILL.md
47,047_wishlist-testing,wishlist-testing,Wishlist Testing,commerce,047_wishlist-testing/SKILL.md
48,048_order-history-testing,order-history-testing,Order History Testing,commerce,048_order-history-testing/SKILL.md
49,049_payment-redirect-testing,payment-redirect-testing,Payment Redirect Testing,commerce,049_payment-redirect-testing/SKILL.md
50,050_dashboard-testing,dashboard-testing,Dashboard Testing,data-ui,050_dashboard-testing/SKILL.md
51,051_data-table-testing,data-table-testing,Data Table Testing,data-ui,051_data-table-testing/SKILL.md
